,glide_scores
DEC_2383,-9.81387386120632
DEC_2378,-9.4637413527713
DEC_2379,-9.4637413527713
DEC_2298,-9.00898779215195
DEC_2297,-8.8553306508074
DEC_2384,-8.82076110062428
DEC_2188,-8.62271440729857
DEC_2311,-8.58509309046554
DEC_2380,-8.50066659276233
DEC_2381,-8.50066659276233
DEC_2376,-8.41867811264594
DEC_2382,-8.40733246147953
DEC_2386,-8.23894598965135
DEC_2348,-7.89000237552623
DEC_2377,-7.87285879415856
DEC_2294,-7.86108878662147
DEC_2385,-7.85687878612039
DEC_2271,-7.50053770988191
DEC_2341,-7.48310513691652
DEC_2211,-7.4815092145402
DEC_2274,-7.42158658419249
DEC_2325,-7.4190119100238
DEC_2282,-7.25049973037216
DEC_2277,-7.24166338384032
DEC_2342,-7.19280440239429
DEC_2190,-7.18587151128002
DEC_2270,-7.12397167669792
DEC_2337,-7.11364902809658
DEC_2327,-7.0253108564742
DEC_2308,-6.98913157229856
DEC_2229,-6.97268429034911
DEC_2351,-6.95974771534932
DEC_2356,-6.95642750262999
DEC_2209,-6.93088241259161
DEC_2269,-6.90069697350848
DEC_2243,-6.86623405185033
DEC_2340,-6.84985145997975
DEC_2317,-6.82404823212592
DEC_2328,-6.82036106967081
DEC_2354,-6.80980860499974
DEC_2362,-6.78297674978555
DEC_2218,-6.7738930948495
DEC_2199,-6.74276276065971
DEC_2361,-6.69641439398671
DEC_2226,-6.69138552849877
DEC_2194,-6.65434623778314
DEC_2367,-6.62268865373928
DEC_2195,-6.61137356311343
DEC_2315,-6.59768565225769
DEC_2355,-6.57726593593211
DEC_2290,-6.5724428969204
DEC_2263,-6.54953253520612
DEC_2189,-6.54622354936296
DEC_2357,-6.54170857315205
DEC_2221,-6.52187861463723
DEC_2231,-6.51358070556254
DEC_2216,-6.50083946570053
DEC_2264,-6.49471014432992
DEC_2220,-6.48512284514775
DEC_2244,-6.47633088781857
DEC_2217,-6.43405133953552
DEC_2344,-6.42053361021914
DEC_2364,-6.40135186276018
DEC_2187,-6.3863311549575
DEC_2359,-6.38562925921237
DEC_2284,-6.37755114049864
DEC_2268,-6.36881339011882
DEC_2276,-6.36177613634277
DEC_2319,-6.35690352869745
DEC_2375,-6.34790764778669
DEC_2335,-6.34482600405782
DEC_2313,-6.30718054137001
DEC_2324,-6.29739348292114
DEC_2232,-6.26011826683259
DEC_2322,-6.25558508708342
DEC_2228,-6.2474070958003
DEC_2314,-6.24028785494082
DEC_2301,-6.201758055463
DEC_2272,-6.2012011045089
DEC_2267,-6.18896057401186
DEC_2329,-6.15038040215
DEC_2242,-6.14104576655253
DEC_2373,-6.11038444042044
DEC_2235,-6.08428088119262
DEC_2371,-6.07096711352197
DEC_2193,-6.06370829973888
DEC_2191,-6.05313485621263
DEC_2374,-6.0458087458968
DEC_2254,-6.02146310514471
DEC_2372,-5.97070301262109
DEC_2278,-5.90382960716148
DEC_2346,-5.902894270298
DEC_2248,-5.90255235582546
DEC_2198,-5.87757304114791
DEC_2204,-5.85721707582258
DEC_2238,-5.85718879405722
DEC_2332,-5.85238761458382
DEC_2212,-5.84036851751093
DEC_2336,-5.83208025343563
DEC_2223,-5.80229657877741
DEC_2368,-5.77520683061602
DEC_2283,-5.77220458917933
DEC_2214,-5.76945335287156
DEC_2292,-5.75947436083818
DEC_2233,-5.75229955473894
DEC_2253,-5.71291111773268
DEC_2273,-5.70978577306287
DEC_2265,-5.67940982009604
DEC_2358,-5.66663288513322
DEC_2255,-5.66070704278568
DEC_2261,-5.63514133170552
DEC_2222,-5.62474850934843
DEC_2331,-5.58845761738925
DEC_2306,-5.58155368146253
DEC_2266,-5.57759940891187
DEC_2333,-5.54522920786057
DEC_2203,-5.5156539820593
DEC_2334,-5.49652497934389
DEC_2305,-5.48403718541146
DEC_2312,-5.48226590856261
DEC_2286,-5.47989951812218
DEC_2310,-5.46526708305827
DEC_2291,-5.45747118575419
DEC_2281,-5.45259274856601
DEC_2352,-5.41515733562993
DEC_2285,-5.3895850715529
DEC_2239,-5.37508109554604
DEC_2280,-5.35996599580337
DEC_2207,-5.34186410675865
DEC_2316,-5.3189108784774
DEC_2370,-5.29582044210659
DEC_2349,-5.29179215664252
DEC_2350,-5.28670539272865
DEC_2241,-5.27678208910534
DEC_2230,-5.26195266940324
DEC_2219,-5.25752796992751
DEC_2323,-5.24968355136008
DEC_2215,-5.24484094077392
DEC_2338,-5.24461062467391
DEC_2236,-5.22498184366805
DEC_2366,-5.21387431480478
DEC_2320,-5.20853226691952
DEC_2260,-5.20242049918206
DEC_2240,-5.19860772204195
DEC_2192,-5.17958588870839
DEC_2275,-5.14863025393081
DEC_2318,-5.13250607792186
DEC_2256,-5.11644693579494
DEC_2258,-5.01265276844249
DEC_2250,-4.98694164071737
DEC_2246,-4.98303051238518
DEC_2249,-4.95748591747398
DEC_2227,-4.95680065544317
DEC_2245,-4.93356000750461
DEC_2210,-4.91247322315311
DEC_2252,-4.88307635305236
DEC_2251,-4.88017153564815
DEC_2369,-4.8631808399873
DEC_2296,-4.84559024445059
DEC_2259,-4.81679627754817
DEC_2339,-4.80983004029712
DEC_2234,-4.77701058470602
DEC_2347,-4.77416363427877
DEC_2289,-4.76926380976102
DEC_2304,-4.75873563431925
DEC_2345,-4.7421397462884
DEC_2247,-4.72975026639029
DEC_2353,-4.71738817436993
DEC_2365,-4.71051070043317
DEC_2302,-4.70699185034038
DEC_2303,-4.70699185034038
DEC_2343,-4.68203672050139
DEC_2326,-4.66301463678929
DEC_2205,-4.64118627732249
DEC_2201,-4.64019581691141
DEC_2208,-4.6195921216618
DEC_2288,-4.61022954746157
