ID,POSE,COMBIND_RMSD,GLIDE_RMSD,BEST_RMSD
2f36_lig,0,0.3464900376349952,0.3464900376349952,0.3464900376349952
2wky_lig,0,2.776528946905004,2.776528946905004,0.8661215845838943
8r36_lig,0,1.7731861655192147,1.7731861655192147,1.2242461168016008
2adu_lig,4,2.3688151045183434,2.687708462836465,0.732915621579604
6qeh_lig,11,3.930699925832867,4.276689991650621,1.3739252528409551
2ao6_lig,0,0.5712556162784042,0.5712556162784042,0.1770393481348145
4hlw_lig,0,2.7245387420957106,2.7245387420957106,0.6306317193708001
4oh5_lig,0,0.9884573561764056,0.9884573561764056,0.538848224910781
5cj6_lig,1,1.778032600259249,1.705223361962428,1.3227508204060123
5v8q_lig,0,6.168643966827586,6.168643966827586,0.5997052065479852
5vo4_lig,1,1.7238869070044698,6.041513340723477,1.015997201512355
8fgy_lig,0,2.7568560384527907,2.7568560384527907,0.421205452231817
2b35_lig,0,6.366683224259899,6.366683224259899,4.1750873719560575
4oim_lig,0,3.750524646563992,3.750524646563992,3.3018844961781846
5coq_lig,36,4.032067903164277,5.596740349675255,3.0383903833815333
4bz6_lig,6,1.7915635113922868,1.6224029092944858,1.123512219280821
6hsf_lig,0,2.160298230881876,2.160298230881876,1.3699143140714878
6hsz_lig,0,2.386217676627385,2.386217676627385,1.2689605571572349
6ht8_lig,1,1.3985112361918668,1.544646849753922,0.8879923163165001
6htg_lig,0,1.4243469416166483,1.4243469416166483,1.1544573195270362
3lk8_lig,1,7.949051188256151,2.4389156410506314,0.6779411528466168
3rts_lig,0,8.402058866808662,8.402058866808662,1.2734213506407708
3rtt_lig,5,9.539622709690002,9.498195445940366,2.1223162156454323
4guy_lig,3,8.338684442684198,2.8192060052404178,1.2619792082917338
1q3w_lig,3,1.691288181890669,2.1779056475720275,0.7775657556387113
1q41_lig,1,6.194052371558652,0.9258573935338702,0.8783739999065635
3zrk_lig,11,5.565982256969784,5.716178487782293,1.84400602405766
4pte_lig,72,5.08515040842202,8.255382532207573,1.7407524350873251
5c29_lig,0,5.149202472037573,5.149202472037573,0.7628135794929173
