,combind_scores
DEC_2632,7.217108746063774
DEC_2631,6.506503490887547
DEC_2722,6.389051885820795
DEC_2779,7.4530197960541615
DEC_2609,6.205385928348196
DEC_2671,6.795095750512953
DEC_2603,6.498535894958832
DEC_2693,7.64788238486969
DEC_2662,7.7364073097032335
DEC_2633,6.665155292298396
DEC_2599,6.6754888754281705
DEC_2715,6.838116537175344
DEC_2720,6.534320327894365
DEC_2737,6.726262679964552
DEC_2678,6.65157063891861
DEC_2620,6.239991104432805
DEC_2750,5.878971462639831
DEC_2608,6.072374865513426
DEC_2591,5.984753338747361
DEC_2728,6.812027438956287
DEC_2644,6.489908432743068
DEC_2711,6.958999630547435
DEC_2778,7.249294427831485
DEC_2721,6.289037871223493
DEC_2736,6.055267843102637
DEC_2596,6.434074508503693
DEC_2676,7.183596749960501
DEC_2746,6.115102912123759
DEC_2666,7.296497997964545
DEC_2738,6.9464076150329275
DEC_2710,6.014042313269527
DEC_2656,7.0961676591280085
DEC_2692,6.611219267151423
DEC_2703,5.645884678828479
DEC_2594,6.4656816694224215
DEC_2630,6.771596289488178
DEC_2674,7.293936401740254
DEC_2670,6.645194349354977
DEC_2586,6.620744487503477
DEC_2598,6.334668923839528
DEC_2675,5.830719031228076
DEC_2643,5.386207465273182
DEC_2724,5.953566703402242
DEC_2634,5.898539613973651
DEC_2681,7.318482603467794
DEC_2600,5.69846824206624
DEC_2743,5.98329400324954
DEC_2745,5.494906577421856
DEC_2606,5.200047813108074
DEC_2657,6.746503509926066
DEC_2768,6.403871930612513
DEC_2733,5.531619926656988
DEC_2669,5.86872874147714
DEC_2653,7.078756919127713
DEC_2776,6.53022272619701
DEC_2732,5.283873333284679
DEC_2760,6.930494533678642
DEC_2592,5.0938077253192455
DEC_2641,5.312633493488034
DEC_2649,5.298512952044424
DEC_2601,5.64436157994328
DEC_2651,5.430095703913345
DEC_2708,5.356657059213175
DEC_2730,5.5754187337720476
DEC_2588,5.987960625895057
DEC_2684,6.56894350978922
DEC_2597,5.924228055618561
DEC_2744,5.155182498018259
DEC_2618,5.666178541414862
DEC_2590,4.878274484696288
DEC_2638,5.883807388999946
DEC_2682,6.600874648668799
DEC_2673,6.6153977924906355
DEC_2690,6.904540102832079
DEC_2605,4.966618786518844
DEC_2705,5.0823663061570565
DEC_2725,5.380558367700127
DEC_2707,5.476868060108941
DEC_2763,6.598233452388562
DEC_2767,5.90251141417453
DEC_2667,6.652481420768904
DEC_2718,6.561025870077059
DEC_2751,5.345697368083316
DEC_2655,6.636279036812463
DEC_2668,6.531259125529319
DEC_2637,5.27084872932774
DEC_2717,5.96842665142555
DEC_2665,6.752044005948016
DEC_2739,4.92763098392645
DEC_2700,6.415901587874332
DEC_2607,4.890304565814866
DEC_2611,5.442236430766053
DEC_2679,6.410288177897484
DEC_2706,4.533893122483521
DEC_2660,6.352945522361127
DEC_2712,5.354360142331022
DEC_2677,5.885939275616673
DEC_2685,6.618740471919179
DEC_2610,4.980767510189937
DEC_2664,6.4835478320482185
DEC_2621,5.154099294181717
DEC_2757,6.173016711422066
DEC_2747,5.155369432346115
DEC_2582,4.565652635069793
DEC_2716,4.775445426531416
DEC_2748,4.985151366892614
DEC_2581,5.699942612072019
DEC_2731,5.781160088964721
DEC_2652,5.944126753173775
DEC_2726,4.2249318294304254
DEC_2735,4.652487969616124
DEC_2624,4.373038930206774
DEC_2645,4.883047930000291
DEC_2719,5.809610581808251
DEC_2701,4.878274967070961
DEC_2648,4.438305526280547
DEC_2619,4.360914592968313
DEC_2723,4.808758205743652
DEC_2661,5.991677378379109
DEC_2602,4.384982466345317
DEC_2683,6.019273008438238
DEC_2614,4.005256389659033
DEC_2702,4.670937438765741
DEC_2686,5.930607497402313
DEC_2694,4.443053940945309
DEC_2740,5.436735354416858
DEC_2635,4.2326750019399615
DEC_2755,4.579901828722361
DEC_2617,4.836195323452149
DEC_2729,5.951111900185566
DEC_2650,4.345733092142233
DEC_2741,4.271039717943248
DEC_2714,4.353410509489605
DEC_2629,4.240252859771202
DEC_2709,-0.12497560728195545
DEC_2761,4.736595830225838
DEC_2780,5.863180638980003
DEC_2713,4.071478304258667
DEC_2654,5.314334279458543
DEC_2764,4.478411588693756
DEC_2583,3.1951711737861443
DEC_2727,4.4905680426613195
DEC_2587,5.84471170286181
DEC_2647,4.062606194908189
DEC_2775,5.454198341538454
DEC_2659,5.473182364610648
DEC_2753,3.2757376263911695
DEC_2612,2.591306800674563
DEC_2639,3.706302059196273
DEC_2687,5.657615402479759
DEC_2627,3.5800932092794855
DEC_2663,5.171194129471024
DEC_2595,4.699964190003514
DEC_2658,5.403214453245886
DEC_2772,3.7915567640751338
DEC_2604,3.615587363659448
DEC_2646,3.1963677031841167
DEC_2773,4.017241663685763
DEC_2765,5.146197297152216
DEC_2771,4.66273301920336
DEC_2622,3.8341351689214456
DEC_2628,1.5605181276544675
DEC_2672,4.039183768466786
DEC_2698,5.019305254656347
DEC_2704,3.6830325573706073
DEC_2754,3.48629679662083
DEC_2625,3.119259456081861
DEC_2584,3.0470101282100077
DEC_2642,2.9864163915611734
DEC_2589,4.783839192368619
DEC_2593,0.7406722711525697
DEC_2640,3.533911310757794
DEC_2615,2.4622976709302415
DEC_2696,5.089940320687328
DEC_2770,3.8438827914120943
DEC_2759,4.748192864762024
DEC_2691,4.851092380743058
DEC_2585,2.80921018273211
DEC_2769,4.970439272545745
DEC_2766,3.6154044665754705
DEC_2695,4.796756190881334
DEC_2616,-1.3143896534706574
DEC_2699,4.697898753160554
DEC_2734,3.4355723312319495
DEC_2749,-3.7344209071364185
DEC_2756,4.654383079522343
DEC_2697,4.370450586432719
DEC_2777,1.7875688591905967
DEC_2613,4.3723979998215725
DEC_2742,2.3747861790400493
DEC_2762,4.522453330701429
DEC_2623,3.177799128915736
DEC_2774,4.27838143011079
DEC_2758,4.495659251525807
DEC_2680,3.84122772981322
DEC_2636,2.3780328604833216
DEC_2688,2.7562741805317037
DEC_2752,3.4706558260273432
DEC_2689,1.8072867681466644
