,combind_scores
DEC_1988,6.882560862066873
DEC_1989,6.746799357745971
DEC_2038,7.267582067642065
DEC_2081,7.555810415039899
DEC_2127,6.9822611906255885
DEC_2080,6.894785634800311
DEC_2177,7.740236856639765
DEC_1996,6.524484007621735
DEC_1994,6.423159736856774
DEC_1999,6.225851697445421
DEC_2174,6.300905442789188
DEC_2025,6.514543581514046
DEC_2135,6.37615000824621
DEC_2073,6.924940821492401
DEC_2069,6.351631482612855
DEC_2074,6.5621433817656145
DEC_1983,6.102005620178437
DEC_1997,5.881237026742141
DEC_2164,6.393569284250786
DEC_2070,7.096263548528614
DEC_2150,5.7323603201690085
DEC_2094,6.033807657650439
DEC_2004,6.618416474760154
DEC_2026,6.618416474760154
DEC_2016,7.04152612893477
DEC_2022,7.329721595568839
DEC_2018,7.1529340839823305
DEC_2021,7.035662076570203
DEC_2020,7.4257372893716385
DEC_2029,6.572738653004935
DEC_2118,6.11438851252076
DEC_2055,6.706090643715755
DEC_2083,5.2149521026347365
DEC_2111,6.929193392983149
DEC_2167,6.971495647501817
DEC_2027,6.732217036124728
DEC_2095,6.728319642955097
DEC_2017,7.254937864327936
DEC_2151,6.2913757179159715
DEC_2093,6.863863764852523
DEC_2087,6.812757677071656
DEC_2156,5.688216847579893
DEC_2100,5.64819166186733
DEC_2003,6.722575058096277
DEC_2159,6.961652447060107
DEC_2061,6.243359668428815
DEC_2153,6.480532668234355
DEC_2015,6.770794977572739
DEC_2090,5.634353838614365
DEC_2155,6.159636215590823
DEC_2112,6.274113531655244
DEC_2165,6.930417048043467
DEC_2077,5.5752007199426075
DEC_2072,7.018186396296186
DEC_2115,5.658644810338954
DEC_2158,5.414571504366956
DEC_2000,6.042644262351201
DEC_2139,5.37066620528054
DEC_2109,5.4251308048939215
DEC_2014,6.838755899832377
DEC_1982,5.760835157025519
DEC_2065,5.907345796874291
DEC_2079,4.674986013758307
DEC_2154,6.221977166833098
DEC_2121,5.987317028972669
DEC_2140,5.468733074033874
DEC_2062,6.45160475755836
DEC_2161,6.730647838756856
DEC_2136,6.235179787786601
DEC_2122,5.268530001377582
DEC_2043,6.5584913415284225
DEC_2039,5.712898376407978
DEC_2096,6.974800094992507
DEC_2110,5.365317644219973
DEC_2084,5.2638898715693845
DEC_2163,6.053400082553743
DEC_2045,6.5255412515402735
DEC_2099,5.890353181462759
DEC_2059,5.342885081364736
DEC_2057,5.53516075578798
DEC_2048,5.885885272327902
DEC_2105,5.095118072438034
DEC_2117,5.340207049620391
