,combind_scores
DEC_2540,5.326329978960619
DEC_2541,5.399200064937711
DEC_2467,6.848927545538961
DEC_2408,7.572688331056952
DEC_2416,7.887713530126513
DEC_2425,4.570507882383504
DEC_2512,5.718106856841295
DEC_2522,4.0454125599952375
DEC_2544,3.3355952688774853
DEC_2504,3.7161211026563903
DEC_2461,4.90133953493244
DEC_2503,5.6955072964717255
DEC_2531,4.942107307732492
DEC_2535,5.5528233095372475
DEC_2419,4.753588109637312
DEC_2496,4.4951912738675315
DEC_2391,4.63890139998036
DEC_2392,3.406820991551291
DEC_2462,4.848457507692409
DEC_2470,4.9755209509421565
DEC_2385,3.3466053484076963
DEC_2442,3.8358870356696695
DEC_2528,4.125955339271766
DEC_2446,3.9897868476981437
DEC_2545,4.851228726107889
DEC_2523,2.515613141825708
DEC_2460,4.691087426626969
DEC_2451,4.1614164853377105
DEC_2403,3.1703210902412096
DEC_2407,4.20978205588872
DEC_2440,6.25258966377076
DEC_2405,3.9261233995609537
DEC_2439,4.807280780537382
DEC_2485,5.274417933008611
DEC_2536,5.484527833127129
DEC_2548,4.477552918952397
DEC_2527,4.135562667724194
DEC_2420,6.311519447393924
DEC_2543,5.0802031217175365
DEC_2444,4.188840872809634
DEC_2542,2.9323555310963485
DEC_2468,4.819869680696586
DEC_2469,4.3835784524255255
DEC_2449,4.210162823575266
DEC_2550,3.649760740871836
DEC_2413,3.772112262822277
DEC_2530,2.1207560036232973
DEC_2507,5.611341910937603
DEC_2422,5.2133524136505915
DEC_2532,4.431881586278994
DEC_2529,5.7147669949079525
DEC_2477,5.394295682527563
DEC_2388,3.673810835937887
DEC_2393,3.578468884629139
DEC_2463,4.603871618782917
DEC_2519,4.378312550073508
DEC_2487,3.339325126347903
DEC_2398,3.5541346961946867
DEC_2409,4.876071100931387
DEC_2488,3.2039242290878076
DEC_2516,5.758056142608851
DEC_2427,4.606162144861845
DEC_2400,3.1790379918949325
DEC_2433,5.826071337246431
DEC_2501,5.858953359441282
DEC_2546,3.838555989141231
DEC_2502,3.1202621422692505
DEC_2454,3.416237824355784
DEC_2386,1.9743021532959637
DEC_2434,4.9205942944601455
DEC_2483,4.8166062084080075
DEC_2456,3.721493687983563
DEC_2429,5.056355388614504
DEC_2533,2.982559044549212
DEC_2520,3.440462410679486
DEC_2457,3.677837017085631
DEC_2475,3.9480977211260417
DEC_2515,5.2674620702876656
DEC_2537,4.694055046589387
DEC_2452,4.215096388123976
DEC_2431,3.686329984325657
DEC_2492,5.821341680395825
DEC_2497,4.77348568830383
DEC_2418,5.89626456419518
DEC_2390,4.470435301360417
DEC_2511,5.582322763373843
DEC_2480,3.15379752701305
DEC_2500,2.5293315718706535
DEC_2447,3.959163726241262
DEC_2490,1.5663013299986113
DEC_2525,4.8096044052520215
DEC_2521,4.648440304014983
DEC_2478,3.2950708414391063
DEC_2539,4.6777833528679285
DEC_2506,5.4852666882921834
DEC_2526,4.4140778187202745
DEC_2412,3.1170135327870327
DEC_2458,3.832252566232399
DEC_2499,4.963728688619582
DEC_2455,3.6469957109078353
DEC_2479,3.088759450955871
DEC_2505,2.869939539724391
DEC_2423,2.1472210289337528
DEC_2476,2.959926248951171
DEC_2410,1.7337018743669155
DEC_2450,2.7372381515876194
DEC_2538,2.953279868691806
DEC_2415,3.8577081553436656
DEC_2465,5.2652252081904
DEC_2384,1.592425344087387
DEC_2401,2.367474140691724
DEC_2481,4.391666456983
DEC_2428,3.615090242704679
DEC_2381,4.033479035738489
DEC_2549,3.9820546841121844
DEC_2445,3.8813262415296395
DEC_2517,4.8249819672629926
DEC_2406,3.962105871161072
DEC_2484,3.112453380569644
DEC_2443,3.100119090394532
DEC_2424,3.10286627881198
DEC_2473,2.7674619721874274
DEC_2394,5.353362412249301
DEC_2382,4.637379453287375
DEC_2495,4.146339079863107
DEC_2459,4.452109796756047
DEC_2486,5.983226171545012
DEC_2436,5.600918283051044
DEC_2438,1.683164538681309
DEC_2396,3.0536769698716713
DEC_2494,3.1422016175684773
DEC_2534,2.610887152981878
DEC_2493,3.27185639585124
DEC_2547,3.9741718057746795
DEC_2397,3.2682440826559924
DEC_2399,4.593427766092916
DEC_2524,1.4000885763091797
DEC_2421,3.769716143688559
DEC_2448,1.1233970222174365
DEC_2404,4.260750609252669
DEC_2395,4.015427484495147
DEC_2426,3.033215891748344
DEC_2491,0.8689896909378754
DEC_2383,2.7817083066370873
DEC_2437,2.310712051759941
DEC_2514,3.903322122967062
DEC_2432,5.835929072698425
DEC_2513,3.876552766153022
DEC_2389,2.8530931637482593
DEC_2498,1.428194491893557
DEC_2435,3.814604639749177
DEC_2489,0.9404617139808469
DEC_2430,4.59905520555393
DEC_2518,3.9177238350772914
DEC_2441,3.8580200588691578
DEC_2509,0.584434949962942
DEC_2453,2.6274385926389607
DEC_2464,2.846012115892746
DEC_2402,3.546192779185797
DEC_2411,1.587190304003073
DEC_2508,1.2839504496137277
DEC_2474,1.8543016281543436
DEC_2414,1.3869562801661925
DEC_2472,1.7253664256388905
DEC_2387,1.5141471954783419
DEC_2510,2.4730714379343617
DEC_2466,2.7145292772190213
