,combind_scores
DEC_1392,4.208400886600149
DEC_1504,5.276156681318697
DEC_1448,5.12978712296942
DEC_1498,4.080460528940858
DEC_1528,4.8931351326476005
DEC_1522,4.629208741540613
DEC_1494,2.9636778982670835
DEC_1415,4.323791333358245
DEC_1406,5.638336430425499
DEC_1393,5.377679897481529
DEC_1453,6.778663132867571
DEC_1521,5.6109204293684325
DEC_1410,6.464711311263782
DEC_1398,3.5245692701762374
DEC_1491,4.7770926447103355
DEC_1461,4.6126104663280065
DEC_1501,5.979566064363088
DEC_1573,5.38015605838739
DEC_1505,4.923967515424604
DEC_1386,1.9786409288420095
DEC_1409,3.992218362920018
DEC_1447,4.815199623025412
DEC_1431,6.457516843084521
DEC_1510,5.16833403544263
DEC_1572,5.399843062704237
DEC_1484,4.005763813164274
DEC_1514,5.093844069085526
DEC_1478,4.507950505829338
DEC_1511,6.599163691520953
DEC_1485,4.378255898213395
DEC_1512,4.622875908362709
DEC_1390,2.311401151619469
DEC_1454,5.7142378505395675
DEC_1432,4.699015307679425
DEC_1557,5.822698037736133
DEC_1523,5.688508347281935
DEC_1383,3.241575952660532
DEC_1536,4.235543759991874
DEC_1403,2.2620841293773495
DEC_1542,5.147310349915524
DEC_1555,4.00841645235216
DEC_1490,2.4219677909070794
DEC_1389,1.2041109820633613
DEC_1548,5.018764234581441
DEC_1418,5.552192706244418
DEC_1468,4.343713681319881
DEC_1549,4.089239137050336
DEC_1534,4.525006926010918
DEC_1456,5.202743257368793
DEC_1492,2.94718745651296
DEC_1394,5.48552911433135
DEC_1477,3.244241756461062
DEC_1515,2.9690474177852653
DEC_1446,2.128802815863651
DEC_1551,5.644672217775261
DEC_1442,4.480488124735174
DEC_1535,6.070679587737219
DEC_1520,5.55085687265236
DEC_1387,2.4526755068741655
DEC_1463,2.787539862783737
DEC_1497,4.057586455755755
DEC_1559,3.2680337566160995
DEC_1391,2.7546613178566908
DEC_1507,6.834400186894447
DEC_1395,5.0346517030993345
DEC_1575,3.512245511714678
DEC_1441,1.8904465090194735
DEC_1455,1.755357080632721
DEC_1422,2.8796381394839776
DEC_1540,4.47347973566375
DEC_1488,3.612172720062559
DEC_1452,4.58691585175157
DEC_1496,5.28606371334528
DEC_1430,4.413070690490195
DEC_1541,3.9071145727973695
DEC_1411,2.8211692786743194
DEC_1473,3.5212814251208147
DEC_1413,1.8678375254642363
DEC_1476,4.4607182060419746
DEC_1513,4.4501285216313455
DEC_1500,4.344136331774367
DEC_1464,5.722295887099152
DEC_1416,4.273020968398252
DEC_1436,4.151134482039905
DEC_1545,4.741223754114678
DEC_1517,5.726653846333079
DEC_1417,4.881362001749768
DEC_1576,4.206263519347652
DEC_1457,3.5309981232403196
DEC_1433,4.034609041998739
DEC_1428,4.460112967187129
DEC_1408,2.2398785282184996
DEC_1381,3.163856882776116
DEC_1384,4.203403398694431
DEC_1509,5.418974679339478
DEC_1502,3.678233014804841
DEC_1531,3.5684062649230333
DEC_1525,6.077974901327454
DEC_1577,1.9355668834268163
DEC_1554,3.0862601668434757
DEC_1489,3.5128664380889143
DEC_1399,3.1882027904563035
DEC_1471,4.440917403294444
DEC_1404,0.11725881118836767
DEC_1487,2.857943382017417
DEC_1450,2.5849463802714228
DEC_1519,5.903766758698979
DEC_1527,4.67781708829485
DEC_1574,5.007437938884248
DEC_1550,5.655334573063783
DEC_1466,5.3762632398377574
DEC_1566,2.5443232172497634
DEC_1526,5.834564182155344
DEC_1483,3.275030065020893
DEC_1543,2.564370409990773
DEC_1402,2.444765121539366
DEC_1459,6.072031813517006
DEC_1495,3.5691574364103036
DEC_1518,3.3824087495159105
DEC_1451,2.8389164171432557
DEC_1486,2.065663608580732
DEC_1382,1.954258056112692
DEC_1414,4.6081073098733265
DEC_1506,2.76074299703737
DEC_1438,4.927310271952259
DEC_1508,4.734087361716757
DEC_1427,1.9969026752325543
DEC_1440,3.486544090057036
DEC_1529,1.3092106707866549
DEC_1556,3.5248031429505797
DEC_1397,2.2731799128493404
DEC_1445,2.365581758571606
DEC_1407,4.344614474062582
DEC_1474,4.556084276265907
DEC_1571,3.32248076302015
DEC_1560,4.283573040558522
DEC_1524,5.3021895466359235
DEC_1580,2.343096219303754
DEC_1532,2.6231953007091517
DEC_1439,3.703294833608193
DEC_1539,4.516607319469658
DEC_1419,2.6039708239053416
DEC_1405,4.857622512469182
DEC_1469,5.024340458731105
DEC_1499,4.417778781949453
DEC_1567,2.8005634065002334
DEC_1516,4.676249708029891
DEC_1467,2.1577275896467714
DEC_1475,3.189090251881063
DEC_1444,4.20271575193337
DEC_1470,4.363315041393663
DEC_1578,0.9536742401005331
DEC_1401,3.7009234354531637
DEC_1420,3.6724720508693576
DEC_1426,4.7911427004134275
DEC_1481,2.7493859603921655
DEC_1434,4.094358076144502
DEC_1465,2.825669968145319
DEC_1482,2.677980214493032
DEC_1544,3.1011643510659086
DEC_1429,2.222686264963
DEC_1423,3.6974884959092007
DEC_1479,1.7301311572875633
DEC_1503,2.8714098065590488
DEC_1537,3.0809708820540247
DEC_1530,3.2903053387027112
DEC_1570,2.624216430336994
DEC_1424,4.195095333044846
DEC_1396,1.2444702431980406
DEC_1458,4.150906779489018
DEC_1443,3.131081711914211
DEC_1564,3.6723930673253036
DEC_1563,4.124068593727754
DEC_1569,2.4043531737875585
DEC_1388,1.0141311977138945
DEC_1437,2.327526281407122
DEC_1538,2.7274266216086946
DEC_1547,3.1654439411937267
DEC_1480,2.4559229033864343
DEC_1435,3.998487306896383
DEC_1400,2.08727895963143
DEC_1561,2.83889574048502
DEC_1449,1.9041447378515362
DEC_1565,3.0478647659888303
DEC_1385,1.2469664792879498
DEC_1425,2.7054004597371675
DEC_1553,0.961663715279593
DEC_1493,2.9126254629634367
DEC_1552,2.7631015624854975
DEC_1460,3.8592445760277516
DEC_1472,2.3149647624111944
DEC_1462,-0.08076531966613176
DEC_1421,2.7605460206384373
DEC_1579,2.5425520486009354
DEC_1533,4.096689187845501
DEC_1562,1.893210739109537
DEC_1558,2.8799271673858797
DEC_1568,1.408621281338101
DEC_1546,2.5669137232375188
DEC_1412,0.6266984347698026
