,combind_scores
DEC_1103,4.7555468706663815
DEC_0996,4.367977162624186
DEC_1180,7.347908306294284
DEC_1070,5.984215723636463
DEC_1179,5.483202583994161
DEC_1144,6.4209069857523415
DEC_1072,4.462366382965095
DEC_1017,4.038068476383295
DEC_1176,4.779605120437948
DEC_1174,6.94219217493096
DEC_1101,3.891707038699302
DEC_1149,4.234893862767119
DEC_0982,5.626768182464948
DEC_0983,5.833363598973091
DEC_1134,4.968053758616242
DEC_1033,3.4799812225837026
DEC_1150,6.672754695650986
DEC_1143,4.358572230802094
DEC_1155,4.578232381616201
DEC_1006,5.021508551663368
DEC_1110,5.446655421530105
DEC_1126,6.335583555186206
DEC_1162,4.933607967664004
DEC_1019,4.923096269205177
DEC_1073,5.094091701410975
DEC_1113,4.306045115334967
DEC_1042,4.986675388211545
DEC_1045,6.2289962842813305
DEC_1112,5.526650327683887
DEC_1053,2.2118670206141773
DEC_1081,2.441998221100991
DEC_1156,4.8816427351935285
DEC_1107,4.170084213394632
DEC_1137,4.610602516804643
DEC_1160,4.819880389844099
DEC_1129,3.1019980493371135
DEC_1069,3.4980368581133767
DEC_0994,3.9231325623274134
DEC_1007,3.742723485625595
DEC_1034,1.857621870537936
DEC_1118,3.5512855671705577
DEC_1050,3.130082002976974
DEC_1106,4.900041937497685
DEC_1132,4.656404797674722
DEC_1079,1.2420568285645923
DEC_1139,3.8810113684217
DEC_1121,4.851124569182877
DEC_1025,4.6430248372872835
DEC_1026,5.119327279711701
DEC_0984,4.826561266346885
DEC_0992,4.457294378296747
DEC_1175,4.23099938204741
DEC_1133,4.05193177108634
DEC_1076,3.0503339960160294
DEC_0986,3.3731327927148524
DEC_1040,4.538073558962638
DEC_1021,3.603872504541319
DEC_0981,4.656045381680444
DEC_1153,4.76088100229184
DEC_1090,3.2993091655102895
DEC_0998,3.4303691034495
DEC_0999,5.669519893724517
DEC_1125,4.119601205279267
DEC_1102,3.708796832248167
DEC_1154,5.324870784884813
DEC_1123,5.716736306121529
DEC_1168,3.3721521047292877
DEC_1136,4.993718556241911
DEC_1061,4.822339917420054
DEC_1128,5.175842956168942
DEC_1117,3.7552035309018956
