,glide_scores
DEC_2329,-6.33515169555424
DEC_2365,-5.6865366242453
DEC_2236,-5.62845950152831
DEC_2245,-5.5437631561069
DEC_2294,-5.50077577649957
DEC_2297,-5.47243440991548
DEC_2281,-5.47047780639951
DEC_2301,-5.44533646599355
DEC_2206,-5.42814864334206
DEC_2352,-5.37879465587346
DEC_2334,-5.34378948956275
DEC_2307,-5.32550175270057
DEC_2292,-5.3195369574829
DEC_2232,-5.28641560727111
DEC_2218,-5.24776358120955
DEC_2356,-5.17469811396652
DEC_2377,-5.15074801815484
DEC_2314,-5.12152668136307
DEC_2371,-5.09163237535539
DEC_2332,-5.04022728729737
DEC_2328,-5.03855925296098
DEC_2280,-5.01621791337883
DEC_2367,-5.00972861908033
DEC_2339,-5.00195480047801
DEC_2276,-4.97195996403501
DEC_2344,-4.96215584381784
DEC_2372,-4.95841936882602
DEC_2207,-4.95661174525919
DEC_2283,-4.93815834712919
DEC_2260,-4.93085694909891
DEC_2309,-4.88957864763398
DEC_2313,-4.88229085161906
DEC_2296,-4.87212431723593
DEC_2336,-4.85376332238998
DEC_2285,-4.84630213483119
DEC_2273,-4.84335462538032
DEC_2188,-4.83989778261646
DEC_2306,-4.8330950712103
DEC_2183,-4.82260895718295
DEC_2284,-4.81012422926677
DEC_2369,-4.78971638409413
DEC_2362,-4.78494667587813
DEC_2376,-4.76238653535008
DEC_2364,-4.73289528348616
DEC_2287,-4.71664291946875
DEC_2255,-4.71202937094014
DEC_2316,-4.71091697796001
DEC_2347,-4.70665607640272
DEC_2239,-4.6674347359359
DEC_2359,-4.63559286083714
DEC_2228,-4.61229514424092
DEC_2253,-4.60665593972904
DEC_2278,-4.60135220858434
DEC_2189,-4.59989486825358
DEC_2363,-4.58681592827818
DEC_2361,-4.57972331571448
DEC_2209,-4.5612035591608
DEC_2210,-4.5612035591608
DEC_2271,-4.56106602808121
DEC_2268,-4.56091615903169
DEC_2226,-4.5582415212421
DEC_2288,-4.55480230117948
DEC_2299,-4.5326723381991
DEC_2277,-4.52244758584002
DEC_2201,-4.51604169670656
DEC_2259,-4.51190584356058
DEC_2252,-4.47421481884871
DEC_2254,-4.45995328950932
DEC_2290,-4.45099195828317
DEC_2338,-4.39697788008059
DEC_2375,-4.38973014872368
DEC_2282,-4.38759685375767
DEC_2374,-4.36693577611308
DEC_2345,-4.36580011889251
DEC_2357,-4.36564003165498
DEC_2246,-4.36467890557617
DEC_2279,-4.35217441000522
DEC_2315,-4.35206144043245
DEC_2235,-4.3357679803849
DEC_2237,-4.31344253614278
DEC_2311,-4.30972120167237
DEC_2241,-4.29686026783018
DEC_2274,-4.29445411067007
DEC_2317,-4.27029409414597
DEC_2221,-4.25630963851453
DEC_2256,-4.25213095635736
DEC_2373,-4.23842039964428
DEC_2355,-4.23405527980092
DEC_2302,-4.23152028264551
DEC_2343,-4.22959296713414
DEC_2300,-4.22842974370526
DEC_2219,-4.22218840994249
DEC_2341,-4.19689835360978
DEC_2266,-4.17814403571856
DEC_2193,-4.17480889552806
DEC_2286,-4.16965102913318
DEC_2227,-4.13431130374528
DEC_2337,-4.12537318775723
DEC_2230,-4.12175994931406
DEC_2196,-4.10758501586657
DEC_2308,-4.09079259035749
DEC_2323,-4.08590517748121
DEC_2186,-4.08552680663297
DEC_2238,-4.07223815322528
DEC_2247,-4.0671627904917
DEC_2340,-4.06521925369715
DEC_2257,-4.06421670911484
DEC_2304,-4.05512802159921
DEC_2335,-4.01083811408063
DEC_2212,-4.00454851339306
DEC_2330,-3.99788755736921
DEC_2229,-3.99563448845293
DEC_2243,-3.99379208549914
DEC_2263,-3.98667253376299
DEC_2258,-3.98398655518339
DEC_2214,-3.97022737800264
DEC_2244,-3.96318550563352
DEC_2346,-3.94521891667716
DEC_2216,-3.93849991368802
DEC_2379,-3.93372971942372
DEC_2213,-3.93256900545136
DEC_2303,-3.92813920516406
DEC_2267,-3.90972098817709
DEC_2240,-3.89916296713546
DEC_2333,-3.89709781583513
DEC_2233,-3.89375908693222
DEC_2305,-3.88731815128497
DEC_2192,-3.88314374571253
DEC_2275,-3.87266475556334
DEC_2187,-3.84716772540249
DEC_2251,-3.84225604461446
DEC_2202,-3.83710560807958
DEC_2350,-3.83285004235769
DEC_2295,-3.79711722179408
DEC_2269,-3.79344140321114
DEC_2326,-3.78732435042743
DEC_2250,-3.76228397419777
DEC_2197,-3.76138634359294
DEC_2198,-3.75682240152623
DEC_2358,-3.75552410068936
DEC_2366,-3.75246297879782
DEC_2215,-3.74270731190707
DEC_2191,-3.74120775207269
DEC_2348,-3.72285847391907
DEC_2203,-3.71801490895914
DEC_2380,-3.70426269443685
DEC_2204,-3.6875916575433
DEC_2370,-3.67542516111642
DEC_2262,-3.64867541925474
DEC_2327,-3.63131686790754
DEC_2190,-3.60858497779661
DEC_2342,-3.59691616723202
DEC_2194,-3.59575175194558
DEC_2225,-3.58844353219465
DEC_2319,-3.57985189416491
DEC_2378,-3.57779011803526
DEC_2368,-3.57139477606026
DEC_2205,-3.56324437340869
DEC_2310,-3.55939788147182
DEC_2195,-3.49628945294795
DEC_2234,-3.48925291672924
DEC_2222,-3.48030583316721
DEC_2272,-3.47994297210297
DEC_2211,-3.47067330575946
DEC_2360,-3.46863418416367
DEC_2199,-3.46766082511111
DEC_2217,-3.43628303698923
DEC_2248,-3.43239152605188
DEC_2242,-3.42873785566622
DEC_2224,-3.40469819190599
DEC_2312,-3.39094693013312
DEC_2265,-3.38394656623729
DEC_2291,-3.35148500622113
DEC_2220,-3.33999247953536
DEC_2325,-3.31430920477548
DEC_2349,-3.28343175661853
DEC_2289,-3.27825563735407
DEC_2321,-3.27599673234051
DEC_2184,-3.27459590188842
DEC_2181,-3.27410782739142
DEC_2185,-3.27251710739478
DEC_2320,-3.26665552860071
DEC_2354,-3.20170945090802
DEC_2318,-3.11537568727602
DEC_2223,-3.11122525975353
DEC_2353,-3.1098082580985
DEC_2322,-3.10557698903483
DEC_2270,-3.08028952792372
DEC_2182,-3.0697048670643
DEC_2261,-3.06730566982148
DEC_2200,-3.03393580238826
DEC_2264,-2.90768344055102
DEC_2208,-2.77134370902494
DEC_2331,-2.71731054869126
DEC_2231,-2.50918632807994
DEC_2293,-2.4608402847207
DEC_2324,-2.21918304671654
DEC_2249,-1.6641120694714
